OEM,Model,Segment,Month,Year,NoOfSales,EngineCapacity,Mileage,Model Price,Dealer location,Region
Bajaj,Platina,Motorcycle,Jan,2022,46492,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorcycle,Jan,2022,12422,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Jan,2022,1268,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Jan,2022,0,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Jan,2022,778,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Jan,2022,44181,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Jan,2022,11239,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger     ,Motorc,Jan,2022,1688,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,Jan,2022,5407,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,Jan,2022,2398,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,Jan,2022,6012,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Jan,2022,525,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Jan,2022,1223,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorc,Jan,2022,243,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorc,Jan,2022,662,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,Jan,2022,717,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,Jan,2022,241,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorcycle,Dec,2022,36157,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorcycle,Dec,2022,3332,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Dec,2022,3249,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Dec,2022,2843,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Dec,2022,251,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Dec,2022,40719,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Dec,2022,23909,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorc,Dec,2022,782,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,Dec,2022,9895,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,Dec,2022,1794,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,Dec,2022,245,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Dec,2022,270,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Dec,2022,981,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorc,Dec,2022,66,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorc,Dec,2022,406,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,Dec,2022,0,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,Dec,2022,289,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,Nov,2022,33702,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorcycle,Nov,2022,3509,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Nov,2022,3346,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Nov,2022,3962,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Nov,2022,331,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Nov,2022,45173,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Nov,2022,13535,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorc,Nov,2022,986,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,Nov,2022,13557,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,Nov,2022,2293,200,30-35,183327,Delhi,North
Bajaj,Pulsar  ,Motorcycle,Nov,2022,470,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Nov,2022,314,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Nov,2022,909,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorc,Nov,2022,135,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorc,Nov,2022,407,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motor,Nov,2022,406,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,Nov,2022,455,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,Dec,2021,44800,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorcycle,Dec,2021,8288,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Dec,2021,728,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Dec,2021,0,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Dec,2021,988,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Dec,2021,27900,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Dec,2021,27169,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorc,Dec,2021,1963,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,Dec,2021,7276,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,Dec,2021,1535,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,Dec,2021,2621,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Dec,2021,414,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Dec,2021,909,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorc,Dec,2021,48,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorc,Dec,2021,2207,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motor,Dec,2021,588,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,Dec,2021,159,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,Oct,2022,57842,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,Oct,2022,7819,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Oct,2022,3756,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Oct,2022,9072,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Oct,2022,894,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Oct,2022,63182,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Oct,2022,18138,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,Oct,2022,1649,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorc,Oct,2022,31251,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorc,Oct,2022,4002,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,Oct,2022,1299,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Oct,2022,607,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Oct,2022,2187,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcycle,Oct,2022,345,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,Oct,2022,1641,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorc,Oct,2022,1197,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke  ,Motorc,Oct,2022,1250,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,Nov,2021,60646,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,Nov,2021,13196,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Nov,2021,511,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Nov,2021,0,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Nov,2021,929,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Nov,2021,42311,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Nov,2021,13084,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,Nov,2021,2055,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorc,Nov,2021,5874,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorc,Nov,2021,1894,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,Nov,2021,644,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Nov,2021,608,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Nov,2021,735,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcycle,Nov,2021,248,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,Nov,2021,1440,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorc,Nov,2021,540,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorc,Nov,2021,238,375,25-30,287295,Delhi,North
Bajaj,Platina,Motor,Sep,2022,73354,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,Sep,2022,13773,100,75-80,"45,274 - 54,138",Delhi,North
