Education_Level,Line_Number,Employed,Unemployed,Industry,Gender,Date_Inserted,dense_rank,Max_Salary_USD
Bachelor's Degree,326,118000,2000,Agriculture,Male,6/1/1999,1,120000
High School Diploma,195,11134000,240000,Agriculture,Female,9/1/1996,2,70000
High School Diploma,129,675000,15000,Retail,Female,5/1/1995,3,70000
Master's Degree,406,131500,3500,Agriculture,Male,2/1/2001,4,150000
High School,1463,4031000,115000,Retail Trade,Male,12/1/2000,5,70000
Bachelor's Degree,426,136900,4100,Manufacturing,Male,7/1/2001,6,120000
Bachelor's Degree,458,136900,4100,Agriculture,Male,3/1/2002,6,120000
Bachelor's Degree,410,136900,4100,Agriculture,Male,3/1/2001,6,120000
High School,1462,4018000,123000,Retail Trade,Female,11/1/2000,7,70000
Associate's Degree,507,53350,1650,Education,Male,3/1/2003,8,90000
High School,1461,4004000,132000,Retail Trade,Male,10/1/2000,9,70000
High School,1460,3990000,140000,Retail Trade,Female,9/1/2000,10,70000
High School,1459,3974000,149000,Retail Trade,Male,8/1/2000,11,70000
High School Diploma,442,154900,6100,Healthcare,Male,11/1/2001,12,70000
High School,1458,3958000,157000,Retail Trade,Female,7/1/2000,13,70000
Bachelor's Degree,520,86500,3500,Energy,Male,7/1/2003,14,120000
Bachelor's Degree,1213,11908700,483400,Health Care,Female,12/1/2017,15,120000
Bachelor's Degree,371,192000,8000,Finance,Female,5/1/2000,16,120000
High School,1457,3942000,165000,Retail Trade,Male,6/1/2000,17,70000
Bachelor's Degree,434,182000,8000,Agriculture,Male,9/1/2001,18,120000
High School,1456,3925000,173000,Retail Trade,Female,5/1/2000,19,70000
High School Diploma,511,76500,3500,Agriculture,Female,4/1/2003,20,70000
High School,1455,3907000,182000,Retail Trade,Male,4/1/2000,21,70000
High School Diploma,487,90750,4250,Healthcare,Female,10/1/2002,22,70000
Bachelor's Degree,1209,11812600,570500,Financial Services,Female,11/1/2017,23,120000
High School Diploma,1205,11729600,574600,Technology,Female,10/1/2017,24,70000
High School,1439,5625,276,Technology,Male,12/1/1999,25,70000
Master's Degree,1438,5600,275,Healthcare,Female,11/1/1999,26,150000
High School,1454,3889000,191000,Retail Trade,Female,3/1/2000,27,70000
Master's Degree,1511,4691822,230540,Education,Male,12/1/2002,28,150000
High School,1437,5571,274,Education,Male,10/1/1999,29,70000
Associate's Degree,667,81000,4000,Hospitality,Female,7/1/2006,30,90000
Master's Degree,754,81000,4000,Education,Male,5/1/2008,30,150000
Master's Degree,702,81000,4000,Finance,Male,4/1/2007,30,150000
Associate's Degree,554,81000,4000,Professional and Business S.,Male,3/1/2004,30,90000
High School Diploma,538,81000,4000,Professional and Business S.,Male,11/1/2003,30,70000
Master's Degree,679,81000,4000,Hospitality,Female,10/1/2006,30,150000
Associate's Degree,739,81000,4000,Hospitality,Female,1/1/2008,30,90000
High School,1428,5200,258,Technology,Female,8/1/1999,31,70000
Bachelor's Degree,506,93300,4700,Finance,Male,3/1/2003,32,120000
College,1201,11654300,589700,Technology,Female,9/1/2017,33,100000
High School Diploma,1294,11654300,589700,Retail,Male,8/1/2020,33,70000
High School Diploma,1278,11654300,589700,Education,Male,4/1/2020,33,70000
Bachelor's Degree,1425,5079,257,Finance,Male,5/1/1999,34,120000
Bachelor's Degree,1510,4680886,236931,Information,Female,11/1/2002,35,120000
High School,1426,5118,260,Education,Female,6/1/1999,36,70000
Master's Degree,1427,5157,263,Healthcare,Male,7/1/1999,37,150000
High School,1453,3871000,199000,Retail Trade,Male,2/1/2000,38,70000
High School,1451,5800,300,Manufacturing,Male,12/1/2000,39,70000
College,1509,4670674,242570,Retail,Male,10/1/2002,40,100000
Graduate,1450,5700,300,Technology,Female,11/1/2000,41,100000
High School Diploma,1197,11561000,615900,Technology,Female,8/1/2017,42,70000
High School,1508,4660495,248411,Construction,Female,9/1/2002,43,70000
Master's Degree,914,5022,269,Technology,Male,9/1/2011,44,150000
High School,1424,5022,269,Technology,Female,4/1/1999,44,70000
High School Diploma,1178,5022,269,Technology,Male,3/1/2017,44,70000
Associate's Degree,555,5022,269,"Trade, Transportation, Util.",Female,3/1/2004,44,90000
Master's Degree,730,5022,269,Education,Male,11/1/2007,44,150000
High School Diploma,1110,5022,269,Agriculture,Male,10/1/2015,44,70000
Associate's Degree,1015,5022,269,Retail,Female,10/1/2013,44,90000
Bachelor's Degree,979,5022,269,Energy,Female,1/1/2013,44,120000
College,1449,5600,300,Education,Male,10/1/2000,45,100000
High School,1452,3853000,208000,Retail Trade,Female,1/1/2000,46,70000
Bachelor's Degree,1268,17365200,947100,Energy,Male,2/1/2020,47,120000
High School,1448,5500,300,Retail,Female,9/1/2000,48,70000
Master's Degree,1507,4650797,253889,Manufacturing,Male,8/1/2002,49,150000
Associate's Degree,1264,17364500,951000,Technology,Male,1/1/2020,50,90000
Master's Degree,1423,4965,272,Healthcare,Male,3/1/1999,51,150000
Master's Degree,579,62000,3400,Finance,Female,9/1/2004,52,150000
High School Diploma,1150,62000,3400,Professional and Business S.,Male,8/1/2016,52,70000
High School Diploma,762,62000,3400,Hospitality,Male,7/1/2008,52,70000
Master's Degree,1043,62000,3400,Agriculture,Female,5/1/2014,52,150000
Associate's Degree,895,62000,3400,Hospitality,Female,4/1/2011,52,90000
Associate's Degree,935,62000,3400,Professional and Business S.,Female,2/1/2012,52,90000
Associate's Degree,550,62000,3400,Professional and Business S.,Male,2/1/2004,52,90000
Master's Degree,1014,62000,3400,Technology,Male,10/1/2013,52,150000
High School Diploma,49,62000,3400,Healthcare,Female,1/1/2022,52,70000
Bachelor's Degree,1252,17489600,961400,Technology,Male,10/1/2019,53,120000
High School,1421,4876,269,Finance,Male,1/1/1999,54,70000
Associate's Degree,1260,17367000,959200,Technology,Male,12/1/2019,55,90000
Bachelor's Degree,1422,4923,273,Education,Female,2/1/1999,56,120000
Graduate,1447,5400,300,Finance,Male,8/1/2000,57,100000
Bachelor's Degree,1506,4642724,258165,Healthcare,Female,7/1/2002,58,120000
College,1446,5300,300,Healthcare,Female,7/1/2000,59,100000
College,1505,4634769,262653,Finance,Male,6/1/2002,60,100000
College,1269,12349100,706000,Hospitality,Female,2/1/2020,61,100000
High School,1265,12351400,710600,Retail,Female,1/1/2020,62,70000
Bachelor's Degree,1372,5329795,306760,Health Care,Female,12/1/1997,63,120000
Bachelor's Degree,1261,12353300,711400,Retail,Female,12/1/2019,64,120000
High School Diploma,1253,12442000,717800,Retail,Female,10/1/2019,65,70000
High School,1445,5200,300,Manufacturing,Male,6/1/2000,66,70000
High School,1504,4627225,266990,Education,Female,5/1/2002,67,70000
Bachelor's Degree,805,12100000,700000,Finance,Female,6/1/2009,68,120000
Bachelor's Degree,364,118125,6875,Education,Male,4/1/2000,69,120000
Master's Degree,394,118125,6875,Healthcare,Male,11/1/2000,69,150000
High School Diploma,346,118125,6875,Healthcare,Male,11/1/1999,69,70000
Master's Degree,298,118125,6875,Healthcare,Male,11/1/1998,69,150000
High School Diploma,789,12000000,700000,Finance,Female,2/1/2009,70,70000
College,1371,5311429,310347,Finance and Insurance,Male,11/1/1997,71,100000
Master's Degree,1503,4620168,271161,Information,Male,4/1/2002,72,150000
Graduate,1444,5100,300,Technology,Female,5/1/2000,73,100000
Associate's Degree,772,11900000,700000,Manufacturing,Male,10/1/2008,73,90000
High School,1370,5295262,313570,Manufacturing,Female,10/1/1997,74,70000
Bachelor's Degree,765,11800000,700000,Construction,Female,8/1/2008,75,120000
Associate's Degree,1212,13584200,807000,Retail,Male,12/1/2017,76,90000
Bachelor's Degree,1502,4613335,275180,Retail,Female,3/1/2002,77,120000
College,1501,4610273,275713,Construction,Male,2/1/2002,78,100000
College,1384,7523000,451000,Financial Services,Female,12/1/1998,79,100000
College,1443,5000,300,Education,Male,4/1/2000,80,100000
High School,1470,3877827,234000,Education,Female,7/1/2001,81,70000
Master's Degree,1369,5279014,318584,Retail Trade,Male,9/1/1997,82,150000
Bachelor's Degree,1383,7508000,454000,Education Services,Male,11/1/1998,83,120000
Bachelor's Degree,1464,3802536,230000,Technology,Female,1/1/2001,84,120000
Bachelor's Degree,1469,3866255,234000,Healthcare,Male,6/1/2001,85,120000
College,1351,6707000,406000,Health Care,Male,8/1/1996,86,100000
Master's Degree,1471,3892329,236000,Finance,Male,8/1/2001,87,150000
Bachelor's Degree,1472,3908215,237000,Technology,Female,9/1/2001,88,120000
High School,1382,7498000,455000,Manufacturing,Female,10/1/1998,89,70000
Associate's Degree,1208,13551800,822800,Hospitality,Male,11/1/2017,90,90000
High School,1349,6685000,406000,Construction,Male,7/1/1996,91,70000
High School,1465,3808680,232000,Healthcare,Male,2/1/2001,92,70000
Bachelor's Degree,1368,5263819,321634,Wholesale Trade,Female,8/1/1997,93,120000
High School Diploma,1202,13504000,825500,Retail,Male,9/1/2017,94,70000
Bachelor's Degree,1204,13504000,825500,Manufacturing,Male,10/1/2017,94,120000
Bachelor's Degree,1380,7456000,456000,Healthcare Services,Female,8/1/1998,95,120000
College,1381,7472000,457000,Retail,Male,9/1/1998,96,100000
High School,1442,4900,300,Healthcare,Female,3/1/2000,97,70000
High School,1473,3918491,240000,Healthcare,Male,10/1/2001,98,70000
College,1375,7362000,451000,Healthcare Services,Male,3/1/1998,99,100000
High School,1500,4600112,282730,Manufacturing,Female,1/1/2002,100,70000
Bachelor's Degree,1475,3946542,243000,Finance,Male,12/1/2001,101,120000
High School,1376,7386000,455000,Retail,Female,4/1/1998,102,70000
Master's Degree,1466,3820902,236000,Education,Female,3/1/2001,103,150000
College,1367,5240404,323914,Professional Services,Male,7/1/1997,104,100000
High School,1468,3849511,238000,Technology,Female,5/1/2001,105,70000
Master's Degree,1474,3929381,243000,Education,Female,11/1/2001,106,150000
High School,1379,7438000,461000,Financial Services,Male,7/1/1998,107,70000
Bachelor's Degree,1377,7403000,459000,Manufacturing,Male,5/1/1998,108,120000
Bachelor's Degree,1374,7345000,457000,Financial Services,Female,2/1/1998,109,120000
College,1378,7422000,462000,Education Services,Female,6/1/1998,110,100000
Bachelor's Degree,1467,3830349,239000,Finance,Male,4/1/2001,111,120000
College,1441,4800,300,Retail,Male,2/1/2000,112,100000
College,1347,6649000,416000,Education,Male,6/1/1996,113,100000
High School,1366,5213332,326589,Health Care,Female,6/1/1997,114,70000
High School Diploma,1273,12212200,765600,Healthcare,Female,3/1/2020,115,70000
Bachelor's Degree,1249,13415600,842200,Technology,Female,9/1/2019,116,120000
Bachelor's Degree,1200,13415600,842200,Manufacturing,Male,9/1/2017,116,120000
High School,1373,7323000,461000,Education Services,Male,1/1/1998,117,70000
High School,861,6622000,422000,Transportation,Female,8/1/2010,118,70000
Bachelor's Degree,813,6622000,422000,Finance,Female,8/1/2009,118,120000
Master's Degree,767,6622000,422000,Energy,Female,8/1/2008,118,150000
Master's Degree,575,6622000,422000,Professional and Business S.,Female,8/1/2004,118,150000
Associate's Degree,611,6622000,422000,Professional and Business S.,Female,5/1/2005,118,90000
High School,1345,6622000,422000,Health Care,Male,5/1/1996,118,70000
Master's Degree,798,6622000,422000,Hospitality,Male,4/1/2009,118,150000
High School Diploma,841,6622000,422000,Hospitality,Female,3/1/2010,118,70000
High School Diploma,650,6622000,422000,Hospitality,Male,3/1/2006,118,70000
Associate's Degree,683,6622000,422000,Finance,Female,11/1/2006,118,90000
High School,832,6622000,422000,Finance,Male,1/1/2010,118,70000
Master's Degree,286,112800,7200,Healthcare,Male,8/1/1998,119,150000
Bachelor's Degree,378,112800,7200,Agriculture,Male,7/1/2000,119,120000
Master's Degree,372,126900,8100,Manufacturing,Male,6/1/2000,119,150000
Master's Degree,134,126900,8100,Manufacturing,Male,6/1/1995,119,150000
Associate's Degree,466,103400,6600,Healthcare,Male,5/1/2002,119,90000
Associate's Degree,368,103400,6600,Healthcare,Male,5/1/2000,119,90000
High School Diploma,344,89300,5700,Healthcare,Male,11/1/1999,119,70000
High School,1488,94000,6000,Finance,Female,1/1/2002,119,70000
Bachelor's Degree,352,112800,7200,Education,Male,1/1/2000,119,120000
High School,1440,4700,300,Finance,Female,1/1/2000,119,70000
Bachelor's Degree,1196,13353200,855500,Manufacturing,Male,8/1/2017,120,120000
High School Diploma,1190,13353200,855500,Education,Male,6/1/2017,120,70000
Bachelor's Degree,1234,13353200,855500,Education,Male,5/1/2019,120,120000
Master's Degree,1139,13353200,855500,Manufacturing,Female,5/1/2016,120,150000
Bachelor's Degree,1159,13353200,855500,Agriculture,Female,10/1/2016,120,120000
Bachelor's Degree,338,79875,5125,Energy,Male,9/1/1999,121,120000
High School Diploma,365,79875,5125,Energy,Female,4/1/2000,121,70000
Associate's Degree,395,79875,5125,Retail,Female,11/1/2000,121,90000
Bachelor's Degree,347,79875,5125,Finance,Female,11/1/1999,121,120000
Bachelor's Degree,299,79875,5125,Manufacturing,Female,11/1/1998,121,120000
Doctorate,1365,5197536,335384,Education Services,Male,5/1/1997,122,200000
High School Diploma,314,98625,6375,Healthcare,Female,3/1/1999,123,70000
Associate's Degree,356,98625,6375,Healthcare,Male,2/1/2000,123,90000
College,860,3929000,254000,Retail,Male,8/1/2010,124,100000
Associate's Degree,812,3929000,254000,Manufacturing,Male,8/1/2009,124,90000
High School Diploma,766,3929000,254000,Professional and Business S.,Male,8/1/2008,124,70000
High School Diploma,574,3929000,254000,Finance,Male,8/1/2004,124,70000
Master's Degree,610,3929000,254000,Energy,Male,5/1/2005,124,150000
High School Diploma,797,3929000,254000,Finance,Female,4/1/2009,124,70000
Master's Degree,1344,3929000,254000,Manufacturing,Female,4/1/1996,124,150000
Bachelor's Degree,840,3929000,254000,Hospitality,Male,3/1/2010,124,120000
High School Diploma,649,3929000,254000,Healthcare,Female,3/1/2006,124,70000
Master's Degree,831,3929000,254000,Energy,Female,12/1/2009,124,150000
High School Diploma,682,3929000,254000,Professional and Business S.,Male,11/1/2006,124,70000
Associate's Degree,856,3909000,253000,Hospitality,Male,7/1/2010,125,90000
Master's Degree,808,3909000,253000,Hospitality,Male,7/1/2009,125,150000
College,793,3909000,253000,"Trade, Transportation, Util.",Female,3/1/2009,125,100000
Bachelor's Degree,836,3909000,253000,Finance,Male,2/1/2010,125,120000
High School Diploma,645,3909000,253000,Agriculture,Female,2/1/2006,125,70000
Master's Degree,1340,3909000,253000,Health Care,Female,2/1/1996,125,150000
Master's Degree,827,3909000,253000,Hospitality,Female,11/1/2009,125,150000
High School Diploma,858,3914000,254000,Professional and Business S.,Male,7/1/2010,126,70000
Bachelor's Degree,810,3914000,254000,Hospitality,Male,7/1/2009,126,120000
Master's Degree,890,3914000,254000,Professional and Business S.,Male,3/1/2011,126,150000
Master's Degree,795,3914000,254000,Energy,Female,3/1/2009,126,150000
Bachelor's Degree,1342,3914000,254000,Financial Sector,Female,3/1/1996,126,120000
Master's Degree,838,3914000,254000,Professional and Business S.,Male,2/1/2010,126,150000
Associate's Degree,647,3914000,254000,Hospitality,Female,2/1/2006,126,90000
Bachelor's Degree,829,3914000,254000,Health Care,Female,12/1/2009,126,120000
Bachelor's Degree,869,3914000,254000,Health Care,Female,10/1/2010,126,120000
Master's Degree,866,6590000,429000,Finance,Male,9/1/2010,127,150000
Master's Degree,859,6590000,429000,Energy,Female,7/1/2010,127,150000
Bachelor's Degree,811,6590000,429000,Hospitality,Female,7/1/2009,127,120000
Bachelor's Degree,796,6590000,429000,Finance,Male,4/1/2009,127,120000
College,1343,6590000,429000,Construction,Male,4/1/1996,127,100000
Associate's Degree,891,6590000,429000,Energy,Female,3/1/2011,127,90000
Bachelor's Degree,648,6590000,429000,Energy,Male,3/1/2006,127,120000
Associate's Degree,839,6590000,429000,Energy,Female,2/1/2010,127,90000
High School Diploma,830,6590000,429000,Professional and Business S.,Male,12/1/2009,127,70000
Master's Degree,870,6590000,429000,finance,Male,10/1/2010,127,150000
Master's Degree,1352,3980000,260000,Retail,Female,8/1/1996,128,150000
Associate's Degree,764,18300000,1200000,Information,Male,8/1/2008,129,90000
High School Diploma,790,18300000,1200000,Hospitality,Male,2/1/2009,129,70000
Bachelor's Degree,1420,8981500,590500,Construction,Female,12/1/1999,130,120000
Associate's Degree,768,18250000,1200000,Finance,Male,9/1/2008,131,90000
Master's Degree,877,18250000,1200000,Retail,Female,12/1/2010,131,150000
Master's Degree,272,14750000,970000,Healthcare,Male,5/1/1998,132,150000
Master's Degree,382,152000,10000,Healthcare,Male,8/1/2000,133,150000
High School,1491,91000,6000,Manufacturing,Male,4/1/2002,134,70000
Bachelor's Degree,1346,3940000,260000,Retail,Female,5/1/1996,135,120000
Master's Degree,1348,3952000,261000,Financial Sector,Female,6/1/1996,136,150000
Bachelor's Degree,784,18150000,1200000,Manufacturing,Male,1/1/2009,137,120000
Bachelor's Degree,1350,3960000,262000,Manufacturing,Female,7/1/1996,138,120000
High School,1419,8960700,593300,Education,Male,11/1/1999,139,70000
Associate's Degree,503,90950,6050,Healthcare,Female,2/1/2003,140,90000
College,1418,8940500,595700,Financial Services,Female,10/1/1999,141,100000
Bachelor's Degree,526,84375,5625,Energy,Male,8/1/2003,142,120000
Bachelor's Degree,467,84375,5625,Finance,Female,5/1/2002,142,120000
Bachelor's Degree,1492,90000,6000,Technology,Female,5/1/2002,142,120000
Bachelor's Degree,369,84375,5625,Finance,Female,5/1/2000,142,120000
Bachelor's Degree,1417,8919700,598100,Healthcare,Male,9/1/1999,143,120000
Bachelor's Degree,287,76840,5160,Manufacturing,Female,8/1/1998,144,120000
High School Diploma,379,76840,5160,Manufacturing,Female,7/1/2000,144,70000
Bachelor's Degree,282,76840,5160,Retail,Male,7/1/1998,144,120000
High School Diploma,353,76840,5160,Energy,Female,1/1/2000,144,70000
High School Diploma,273,9258000,622000,Retail,Female,5/1/1998,145,70000
Bachelor's Degree,342,9258000,622000,Manufacturing,Male,10/1/1999,145,120000
Bachelor's Degree,1363,5149417,346298,Finance and Insurance,Male,3/1/1997,146,120000
High School Diploma,367,323250,21750,Energy,Female,4/1/2000,147,70000
High School,1416,8900500,599500,Retail,Female,8/1/1999,148,70000
Master's Degree,1493,89000,6000,Finance,Male,6/1/2002,149,150000
Bachelor's Degree,857,6555000,443000,Hospitality,Female,7/1/2010,150,120000
Master's Degree,809,6555000,443000,Finance,Female,7/1/2009,150,150000
Master's Degree,794,6555000,443000,Professional and Business S.,Male,3/1/2009,150,150000
High School,1341,6555000,443000,Retail,Male,3/1/1996,150,70000
High School,837,6555000,443000,Manufacturing,Female,2/1/2010,150,70000
Master's Degree,646,6555000,443000,Energy,Male,2/1/2006,150,150000
