
Find the Lowest Price range for each Model in a Brand::::

+-----------------------+-------------+-----------------------+
|Pricerange             |Brand        |Model                  |
+-----------------------+-------------+-----------------------+
|40.01 Lakh             |MINI Cooper  |Cooper Convertible     |
|7.95 - 12.55 Lakh      |Mahindra     |XUV300                 |
|4.02 Crore             |Ferrari      |F8 Tributo             |
|5.92 - 9.32 Lakh       |Hyundai      |Aura                   |
|85.46 Lakh - 1.64 Crore|Porsche      |718                    |
|6.24 - 9.99 Lakh       |Honda        |Amaze                  |
|51.5 - 53.9 Lakh       |BMW          |3 Series Gran Limousine|
|5.5 - 7.64 Lakh        |Tata         |Tigor                  |
|5.87 - 7.45 Lakh       |Mahindra     |KUV100 NXT             |
|11.02 - 14.95 Lakh     |Honda        |All New City           |
|6.17 - 10 Lakh         |Volkswagen   |Polo                   |
|10.51 - 10.83 Lakh     |Tata         |Tigor EV               |
|66.07 Lakh             |Jaguar       |F-Pace                 |
|8.7 - 11.11 Lakh       |Honda        |WR-V                   |
|9.3 - 10 Lakh          |Honda        |City                   |
|29.9 - 31.9 Lakh       |Citroen      |C5 Aircross            |
|1.2 - 1.93 Crore       |Porsche      |Cayenne                |
|1.55 Crore             |BMW          |M5                     |
|10 - 17.54 Lakh        |Hyundai      |Creta                  |
|1.27 Crore             |Mercedes Benz|AMG GLE Coupe          |
|56 - 69.1 Lakh         |BMW          |5 Series               |
|42.6 - 62.9 Lakh       |BMW          |3 Series               |
|6.8 - 11.33 Lakh       |Hyundai      |i20                    |
|10 - 14.15 Lakh        |Mahindra     |Thar                   |
|1.15 - 1.92 Crore      |Maserati     |Ghibli                 |
|39.5 - 43.4 Lakh       |MINI Cooper  |Countryman             |
|55.86 - 60.51 Lakh     |Audi         |A6                     |
|45.9 Lakh              |Volvo        |S60                    |
|4.67 - 6.35 Lakh       |Hyundai      |Santro                 |
|13.63 - 19.81 Lakh     |MG           |Hector Plus            |
|1.58 Crore             |Audi         |A8 L                   |
|95.12 Lakh - 2.54 Crore|Jaguar       |F TYPE                 |
|9.16 - 14.6 Lakh       |Toyota       |Yaris                  |
|2.42 Crore             |Mercedes Benz|AMG GT 4-Door Coupe    |
|8.12 - 9.1 Lakh        |Mahindra     |Bolero                 |
|62.4 - 68.9 Lakh       |BMW          |X4                     |
|63.6 - 80.9 Lakh       |Mercedes Benz|E Class                |
|2.33 Crore             |Lexus        |LX                     |
|56.55 - 61.75 Lakh     |Lexus        |ES                     |
|1.04 Crore             |Lexus        |RX                     |
|9.14 - 13.83 Lakh      |Volkswagen   |Vento                  |
|1.94 Crore             |Audi         |RS7 Sportback          |
|5.92 Crore             |Rolls Royce  |Dawn                   |
|69.98 - 85.01 Lakh     |Porsche      |Macan                  |
|37.2 - 42.9 Lakh       |BMW          |X1                     |
|59 Lakh                |Volvo        |S90                    |
|80.99 Lakh - 1.31 Crore|Volvo        |XC90                   |
|1.95 Crore             |BMW          |X5 M                   |
|8.5 - 11.35 Lakh       |Toyota       |Urban Cruiser          |
|11.64 - 13.8 Lakh      |Mahindra     |Marazzo                |
|7.18 - 9.1 Lakh        |Toyota       |Glanza                 |
|21 - 24.18 Lakh        |MG           |ZS EV                  |
|30.34 - 38.3 Lakh      |Toyota       |Fortuner               |
|49.41 - 65.55 Lakh     |Mercedes Benz|C Class                |
|1.91 - 2.22 Crore      |Lexus        |LS                     |
|22.55 - 27.33 Lakh     |Hyundai      |Tucson                 |
|1.64 - 3.08 Crore      |Porsche      |911                    |
|21.35 Lakh             |Volkswagen   |T-Roc                  |
|11.98 - 16.44 Lakh     |Mahindra     |Scorpio                |
|37.9 - 42.3 Lakh       |BMW          |2 Series Gran Coupe    |
|58.2 - 63.63 Lakh      |Lexus        |NX                     |
|13.18 - 19.06 Lakh     |MG           |Hector                 |
|77.25 Lakh             |Mercedes Benz|E-Class All-Terrain    |
|1.05 Crore             |Mercedes Benz|GLS                    |
|6.79 - 13.19 Lakh      |Kia          |Sonet                  |
|34.99 - 48.89 Lakh     |Audi         |Q2                     |
|9.11 - 15.2 Lakh       |Hyundai      |Verna                  |
|1.04 Crore             |Mercedes Benz|EQC                    |
